"value","unit","charge_id","timestamp"
"900","Wh","18894","2024-04-19 11:59:26+00"
"1200","Wh","19574","2024-04-29 09:40:31+00"
"1400","Wh","19574","2024-04-29 09:41:31+00"
"1600","Wh","19574","2024-04-29 09:42:31+00"
"1800","Wh","19574","2024-04-29 09:43:31+00"
"1900","Wh","19574","2024-04-29 09:44:31+00"
"2100","Wh","19574","2024-04-29 09:45:31+00"
"2200","Wh","19574","2024-04-29 09:46:31+00"
"2400","Wh","19574","2024-04-29 09:47:31+00"
"2500","Wh","19574","2024-04-29 09:48:31+00"
"2700","Wh","19574","2024-04-29 09:49:31+00"
"2800","Wh","19574","2024-04-29 09:50:31+00"
"3000","Wh","19574","2024-04-29 09:51:31+00"
"3200","Wh","19574","2024-04-29 09:52:31+00"
"3300","Wh","19574","2024-04-29 09:53:31+00"
"3300","Wh","19574","2024-04-29 09:54:31+00"
"3300","Wh","19574","2024-04-29 09:55:31+00"
"3400","Wh","19574","2024-04-29 09:56:31+00"
"3400","Wh","19574","2024-04-29 09:57:30+00"
"3400","Wh","19574","2024-04-29 09:58:31+00"
"3400","Wh","19574","2024-04-29 09:59:30+00"
"3500","Wh","19574","2024-04-29 10:00:31+00"
"3500","Wh","19574","2024-04-29 10:01:31+00"
"3500","Wh","19574","2024-04-29 10:02:31+00"
"3500","Wh","19574","2024-04-29 10:03:31+00"
"3600","Wh","19574","2024-04-29 10:04:31+00"
"3600","Wh","19574","2024-04-29 10:05:31+00"
"3600","Wh","19574","2024-04-29 10:06:31+00"
"3700","Wh","19574","2024-04-29 10:07:31+00"
"3700","Wh","19574","2024-04-29 10:08:31+00"
"3800","Wh","19574","2024-04-29 10:09:31+00"
"3800","Wh","19574","2024-04-29 10:10:31+00"
"3900","Wh","21977","2024-06-07 09:23:21+00"
"4100","Wh","21977","2024-06-07 09:24:20+00"
"4200","Wh","21977","2024-06-07 09:25:21+00"
"4400","Wh","21977","2024-06-07 09:26:21+00"
"4600","Wh","21977","2024-06-07 09:27:21+00"
"4800","Wh","21977","2024-06-07 09:28:21+00"
"4900","Wh","21977","2024-06-07 09:29:21+00"
"5100","Wh","21977","2024-06-07 09:30:21+00"
"5300","Wh","21977","2024-06-07 09:31:21+00"
"5500","Wh","21977","2024-06-07 09:32:21+00"
"5700","Wh","21977","2024-06-07 09:33:21+00"
"5800","Wh","21977","2024-06-07 09:34:21+00"
"6000","Wh","21977","2024-06-07 09:35:21+00"
"6200","Wh","21977","2024-06-07 09:36:21+00"
"6400","Wh","21977","2024-06-07 09:37:21+00"
"6500","Wh","21977","2024-06-07 09:38:21+00"
"6700","Wh","21977","2024-06-07 09:39:21+00"
"6900","Wh","21977","2024-06-07 09:40:21+00"
"7100","Wh","21977","2024-06-07 09:41:21+00"
"7200","Wh","21977","2024-06-07 09:42:21+00"
"7400","Wh","21977","2024-06-07 09:43:21+00"
"7600","Wh","21977","2024-06-07 09:44:21+00"
"7800","Wh","21977","2024-06-07 09:45:21+00"
"7900","Wh","21977","2024-06-07 09:46:21+00"
"8100","Wh","21977","2024-06-07 09:47:21+00"
"8300","Wh","21977","2024-06-07 09:48:21+00"
"8500","Wh","21977","2024-06-07 09:49:21+00"
"8600","Wh","21977","2024-06-07 09:50:21+00"
